event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000139220_23_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_24_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_24_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_25_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_25_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_26_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_26_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_27_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_27_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_28_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_28_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_29_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_29_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_30_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_30_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_31_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_31_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_32_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_32_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_33_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_33_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_34_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_34_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_35_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_35_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_36_canonical	T	T	F	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_36_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_37_canonical	T	T	F	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_37_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_38_canonical	T	T	F	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_38_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000107643_1_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_1_alternative	T	T	T	T	T	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_2_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_2_alternative	T	T	T	T	T	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_3_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_3_alternative	T	T	T	T	T	ENSG00000107643	homo_sapiens	alternative	T
